position;restaurants;ratings;number_reviews;price_category;food_category
478;Venta El Gato;4.0;50;€€ - €€€;Española
479;Doramar Puerto;4.0;97;€€ - €€€;Marisco,Mediterránea,Española
480;Lova;4.5;19;€€ - €€€;Francesa,Europea,Española
481;La Carmela Tapas;4.5;50;€€ - €€€;Mediterránea,Europea,Española,Fusión,Opciones vegetarianas
482;Cantina Mexicana Tacos;4.0;76;€€ - €€€;Mexicana
483;Pascucci;5.0;22;€;Italiana,Opciones vegetarianas
484;Los Pibes Bar;5.0;17;€;Argentina,Sudamericana,Asador,Mediterránea,Española
485;Tabanco Málaga;4.5;44;€€ - €€€;Mediterránea,Española
486;Hong Kong;4.5;64;€€ - €€€;China,Asiática,Opciones vegetarianas
487;Bar Mercado Central N.1;4.0;54;€;Marisco,Mediterránea,Española,Bar,Pub
488;Los Gatos;3.5;1768;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
489;La Taberna de Curro Castilla;4.0;115;€€ - €€€;Mediterránea,Española
490;Restaurante La Romantica;4.0;154;€€ - €€€;Italiana,Mediterránea,Europea,Pizza,Opciones vegetarianas,Opciones veganas
491;Cafeteria La Galeona;5.0;21;€;Café
492;Chopp Muelle Uno;4.0;110;€;Española,Bar,Café,Mediterránea,Europea,Opciones vegetarianas
493;La Taberna del Obispo;3.5;510;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas
494;Trattoria Lorenzo;3.5;269;€€ - €€€;Italiana,Opciones vegetarianas,Opciones veganas
495;restaurante Las Flores;4.0;79;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
496;Jamón Power Urban & Grill;4.5;37;€€ - €€€;Mediterránea,Española
497;La Pluma;4.5;28; ;
498;Restaurante El Pantano;4.0;120;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
499;Mesón La Buena Mano;4.5;57;€;Mediterránea,Española
500;Bar Ortega;5.0;21;€€ - €€€;Mediterránea,Española
501;Hotel Atarazanas;4.0;58; ;
502;Pizza & Porcion;4.5;31;€;Italiana,Pizza,Mediterránea
503;Ispaña;4.0;324;€€ - €€€;Española,Vinoteca,Pub restaurante,Bar,Mediterránea,Europea
504;La Esquinita Del Chupa y Tira;4.5;26;€€ - €€€;Española
505;La Güerta;4.5;36;€€ - €€€;Asador,Mediterránea,Española,Opciones vegetarianas,Opciones sin gluten
506;La Cueva de 1900 - Martínez, 9;3.5;450;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
507;El Morata;4.0;83;€€ - €€€;Española
508;64 Metros De Óleo;4.5;21; ;
509;El Tapeo del Colilla;4.0;65; ;
510;Soho Café & Lounge;4.0;100;€€ - €€€;Internacional,Mediterránea,Contemporánea,Saludable
511;The Half Way Inn;4.5;50;€;Bar,Británica,Pub,Opciones veganas,Opciones vegetarianas
512;El Rincón de la Catedral;4.5;44;€€ - €€€;Mediterránea
513;Bar Emily;5.0;22; ;
514;La Bacanal;5.0;16;€;Italiana,Bar,Mediterránea,Española,Pub,Vinoteca
515;El narval marisqueria;4.0;92;€€ - €€€;Marisco,Mediterránea,Española
516;Pastelería Daza;5.0;42; ;
517;El Patio Bodega;3.5;1147;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
518;La Fragata;4.5;36;€€ - €€€;Mediterránea,Española,Europea
519;María Pistolas;4.0;59;€€ - €€€;Mexicana,Fusión
520;Kali;4.5;44;€;Internacional,Opciones vegetarianas
521;El Carpintero;4.0;70;€;Mediterránea,Española,Europea
522;El Guacamole Autentica Comida Mexicana;4.0;93;€;Mexicana,Latina
523;TGB The Good Burger Malaga Larios;4.0;118;€;Americana,Comida rápida,Opciones vegetarianas
524;TK's Thomas & Kerstin;4.5;50;€€ - €€€;Europea
525;Camping Presa La Viñuela;3.5;125;€€ - €€€;Barbacoa,Española,Asador,Opciones vegetarianas
526;Parador Malaga Gibralfaro;3.5;284;€€€€;Mediterránea,Española,Bar,Europea,Pub,Opciones sin gluten
527;El Ribete;4.0;54;€€ - €€€;Española,Asador,Vinoteca,Pub restaurante
528;La Machina;3.5;162;€€ - €€€;Americana,Bar,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas
529;Taberna La Antigua;3.5;189;€€ - €€€;Bar,Marisco,Mediterránea,Europea,Española,Opciones vegetarianas
530;Kipfer and Lover;4.5;52;€€ - €€€;Mediterránea,Internacional,Opciones vegetarianas,Opciones sin gluten
531;La Cueva de 1900 - Alarcón Luján, 1;3.5;201;€€ - €€€;Mediterránea,Europea,Española
532;Club Japones;4.0;126;€€ - €€€;Japonesa,Sushi,Fusión,Peruana
533;La Tagliatella;3.5;122;€€ - €€€;Italiana,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
534;Restaurante la Casamata;4.0;47; ;Asador
535;Marisqueria Huelin;4.0;76;€€ - €€€;Marisco,Mediterránea,Española
536;Asakusa;4.0;69;€€ - €€€;Japonesa,Sushi,Asiática,Opciones vegetarianas
537;Restaurante La Ñora;4.5;25; ;
538;Kinyeti;4.0;49;€;Marroquí
539;El Piyayo;3.5;462;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
540;Meson Los Pinchitos;4.5;34;€;Mediterránea,Española
541;Balandros;4.0;91;€€ - €€€;Opciones vegetarianas,Opciones veganas,Opciones sin gluten
542;Trattoria Mamma Franca Churriana;4.5;29; ;
543;Cafe Bar Ortega;4.0;43;€;Bar,Café,Española,Pub,Mediterránea
544;Bramasole Pizzerias;4.5;23;€€ - €€€;Italiana,Pizza
545;Molabassa;4.0;65;€€ - €€€;Mediterránea,Española,Opciones vegetarianas,Opciones veganas
546;Savanna Exotic;4.5;78;€€ - €€€;Internacional,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
547;Patatín Patatan;4.5;35;€;Española
548;Tgb the Good Burger;3.5;253;€;Americana,Comida rápida
549;El Tapeo del Soho;4.5;34;€€ - €€€;Libanesa,Mediterránea,Española,De Oriente Medio,Árabe,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
550;Restaurante Strachan;3.5;283;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
551;Bodegas Las Mariposas;4.5;38;€€ - €€€;Española
552;Soul Kitchen Benalmadena;5.0;16; ;
553;Calipso Taperia Restaurante;5.0;16;€;Marisco,Mediterránea,Española
554;La bodeguita;4.5;44;€€ - €€€;Mediterránea,Española,Tienda gourmet,Vinoteca
555;Parador de Málaga Golf;4.0;72;€€ - €€€;Marisco,Española
556;Taberna de Baco;4.5;28; ;
557;Nerva Café Restaurante;4.0;83;€€ - €€€;Española
558;la bodeguita fortunata;4.5;54;€;Marisco,Española,Mediterránea,Opciones veganas
559;Tick-Tack;4.0;101;€€ - €€€;Mediterránea,Española,Europea,Opciones vegetarianas
560;La Mar De Vinos Muelle Uno;4.5;24;€€€€;Española
561;Kelucos;4.5;35;€;Café,Mediterránea,Opciones vegetarianas
562;Samarkanda;4.0;62;€€ - €€€;Libanesa,De Oriente Medio,Internacional,Opciones vegetarianas,Opciones veganas,Halal
563;Le Zeppole;4.0;39;€;Italiana,Pizza,Mediterránea,Street food / Comida en la calle
564;El Corte Ingles;3.5;246;€€ - €€€;Española,Opciones vegetarianas,Opciones sin gluten
565;La Piscina Lounge;4.0;63;€€ - €€€;Bar,Mediterránea,Europea,Española,Pub restaurante
566;La Mar de Soler;3.5;195;€€ - €€€;Marisco,Mediterránea,Española
567;Cafe Bar La Marina;4.5;19;€;Mediterránea
568;Marisqueria Pelayo;4.5;27; ;
569;Safo Beach;4.0;51;€€ - €€€;Marisco,Pub restaurante
570;La Cueva de 1900 - Muelle Uno, L57;4.0;60;€€ - €€€;Mediterránea,Europea,Española
571;Restaurante El Pescaito;4.5;41; ;
572;La Odisea Vinos de Malaga;4.0;170;€€ - €€€;Mediterránea,Española,Vinoteca,Europea,Opciones vegetarianas
573;Bar el Tropezon;5.0;20;€;Mediterránea,Española,Opciones vegetarianas
574;Lígula;4.5;28; ;Internacional,Mediterránea,Española
575;Vesuvio Gastrobar-Restaurante italiano;4.5;42;€€ - €€€;Italiana,Café,Mediterránea,Contemporánea
576;El Repique;4.0;61;€€ - €€€;Mediterránea,Europea,Española
577;Las Brasas De Sureños;5.0;25;€;Asador,Café,Mediterránea,Española
578;Las Tortugas Bar;3.5;249;€;Bar,Mediterránea,Pub,Internacional,Opciones vegetarianas
579;Restaurante Asador Puerta de Malaga;4.0;70;€€ - €€€;Asador
580;No Piqui;4.0;76;€€ - €€€;Italiana,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
581;Caminito;4.5;50;€;Comida rápida,Argentina
582;Frascati Due;4.5;29; ;Opciones vegetarianas
583;Kalua Helado Artesanal;4.5;26; ;Café
584;Meson Cantarrana;3.5;194;€€ - €€€;Mediterránea,Española,Opciones vegetarianas
585;Kir;5.0;13;€€ - €€€;Francesa,Marroquí,Mediterránea,Vietnamita,Vinoteca,Opciones vegetarianas
586;Venta Puerto Del Leon;4.5;22; ;
587;La Bodeguita De El Calaero;4.0;45;€€ - €€€;Marisco,Mediterránea,Española
588;El Beato;3.5;88;€;Mediterránea,Española
589;Casa Lucas Jurado;4.0;55;€€ - €€€;Marisco
590;Recoleta;4.5;31;€€ - €€€;Europea,Española,Saludable
591;Meson Restaurante los Perez;4.0;98; ;
592;Burguer Kebab;4.5;24;€;Americana,Comida rápida
593;los del Tunel;4.0;34; ;
594;Taberna del Siglo;3.5;493;€€ - €€€;Bar,Mediterránea,Española
595;Farina Malaga;4.5;23;€€ - €€€;Italiana,Pub con cerveza artesanal,Pizza
596;El Zagal;3.5;246;€;Marisco,Mediterránea,Europea,Española
597;Heladeria pasteleria Ignacio Mira;5.0;15; ;
598;Despeidas De Soltera Y Soltero En Meson El Cantaro;4.0;35; ;
599;Bar Restaurante Victoria;4.0;85;€€ - €€€;Española,Marisco
600;El Tinglao de Lagunillas;5.0;16;€€ - €€€;Española,Vinoteca
601;Tapería El Encuentro;4.0;57;€€ - €€€;Mediterránea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
602;The Greedy Goat;4.5;19;€€ - €€€;Bar,Británica,Pub,Española,Opciones vegetarianas
603;La Taberna de Álvaro;4.0;98;€;Mediterránea,Española
604;Catedral Taberna Restaurante;4.5;25; ;
605;Avocado;4.0;46;€;Americana
606;La Burmet;4.0;60;€€ - €€€;Americana,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
607;Bar restaurante ruiseñor;4.5;21;€€ - €€€;Barbacoa,Española
608;100 Montaditos Atarazanas;4.0;38;€;Comida rápida,Española
609;Pastelería La Princesa;5.0;17; ;
610;Tuk Tuk Noodles Cerrado Calderón;4.0;48;€;Asiática,Tailandesa,Opciones vegetarianas
611;El Pimiento;4.0;44;€€ - €€€;Española,Asador
612;Restaurante Galvez;4.0;46; ;Española
613;Mediterraneo;4.0;51;€;Mediterránea
614;Pizzeria Nenina;4.5;28;€;Italiana,Opciones vegetarianas
615;Pretende Gastrobar;4.5;28;€€ - €€€;Española,Fusión
616;L'Álbero Pizzerías;4.0;52;€€ - €€€;Italiana,Pizza
617;Meson Gallego;4.0;41;€€ - €€€;Española
618;Cafetería-Restaurante Patricia;4.5;17; ;
619;Zamarrilla 33;4.0;47;€;Española
620;Cafeteria Los Villares;4.5;22; ;Española
621;Cafeteria Plaza S.L;4.0;58;€;Café,Mediterránea,Europea,Española,Opciones vegetarianas
622;Bellavista Mare ( Pizzorante );4.5;20;€€ - €€€;Italiana
623;Pidebio Restaurante EcoTienda;4.5;30;€;Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
624;Buddha house;4.5;18;€€ - €€€;India,Asiática,Nepalí,Opciones vegetarianas
625;Cal Y Canto;4.5;120;€€ - €€€;Mediterránea,Española,Marisco,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
626;Taberna Mitjana;3.5;467;€;Bar,Mediterránea,Europea,Española,Opciones vegetarianas
627;Kima Coffee;5.0;12;€;Café
628;La Cazuela de mi Abuela Luisa;4.5;20;€€ - €€€;Española,Asador,Barbacoa,Argentina
629;Restaurante Alma Sicana;5.0;13; ;
630;Chiringuito Mari Gutierrez;4.0;68;€€ - €€€;Marisco,Mediterránea,Española
631;El Rincon de Los Pintores;4.5;17; ;
632;O'Cono e Napule;4.5;18;€;Italiana,Pizza,Opciones vegetarianas
633;La Taskita Del Tobita;4.0;48; ;
634;La Farola de Cervantes;4.0;83;€€ - €€€;Marisco,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
635;Hamburgueseria Pizzeria EL FARO;4.5;23;€;Pizza,Comida rápida
636;The Dark Side Of The Moon;4.0;37;€;Bar,Británica,Europea,Pub
637;El Rebalaje de Mijas;3.5;111;€€ - €€€;Marisco,Mediterránea,Española
638;Heladeria Artesana Pirandello;4.5;18; ;
639;Mantra Restaurante;4.5;16; ;
640;Taberna la Cazuela;4.5;34; ;
641;Pollos San Juan;4.0;32;€;Española
642;El Tomillar Trattoria Pizzeria;4.5;24;€€ - €€€;Italiana,Pizza
643;Burguer Parrilla;4.5;40;€;Café,Comida rápida,Pub,Pub restaurante
644;Pizzeria Picasso;4.0;35;€€ - €€€;Italiana,Mediterránea,Opciones vegetarianas,Opciones veganas
645;Cappuccinos Beach Side;4.5;25;€€ - €€€;Café,Británica,Europea
646;Bar Los Pueblos Alameda;4.0;39;€;Española
647;El Caldero;4.0;77;€€ - €€€;Mediterránea,Española,Europea
648;The Red Dragon Golf Bar;4.0;50;€;Bar,Británica,Pub,Europea
649;De La Mota Cafe;4.0;27;€;Española
650;Marisqueria Los Mellizos;4.5;13; ;
651;Chiringuito La Orilla;4.5;18; ;
652;Chiringuito Tropicana;3.5;501;€€ - €€€;Marisco,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
653;La Rambla;4.5;17; ;
654;Restaurante La Grada;3.5;179;€€ - €€€;Americana,Bar,Española,Opciones vegetarianas
655;Gastrobar Paladar;4.5;21;€;Mediterránea,Fusión,Opciones vegetarianas
656;Restaurante japones OISHI;4.5;24;€€ - €€€;Japonesa,Sushi,Opciones vegetarianas
657;Restaurante Coronado;4.5;16;€;Española
658;El Pimpi Florida;4.5;18; ;Marisco,Mediterránea,Española
659;Marco Pizzeria-Ristorante;4.0;109;€€ - €€€;Italiana,Pizza,Opciones vegetarianas
660;Ohana Poké & More;3.5;107;€€ - €€€;Americana,Hawaiana,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
661;Tapería Aliolé;4.5;36;€;Internacional,Mediterránea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
662;El Bodegon de Paco;4.5;15; ;
663;Meson Lo Güeno;3.5;811;€€ - €€€;Mediterránea,Europea,Española,Asador,Opciones vegetarianas,Opciones sin gluten
664;Taberna Los Hidalgos;4.0;29; ;
665;El Pirindin;4.5;15;€;Bar,Marisco,Mediterránea,Saludable,Street food / Comida en la calle
666;Mojito bar;5.0;11;€€ - €€€;Americana
667;Cafe Flor;4.0;58;€;Café,Mediterránea,Española,Europea
668;Restaurante Caribe;4.0;38; ;Española
669;Las Niñas Del Soho;4.5;49;€€ - €€€;Mediterránea,Española,Opciones vegetarianas
670;El Rancho Criollo;3.5;163;€€ - €€€;Asador,Pizza,Mediterránea,Barbacoa,Europea,Argentina
671;Raff tapas Centro Histórico;4.5;14;€€ - €€€;Americana,Española,Asiática
672;Alma alpujarreña;4.0;51;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
673;Campo de Arroz;4.0;65; ;
674;Taxi-Angus Burger;4.0;84;€;Americana,Opciones vegetarianas
675;Kaiser American Food;4.0;64; ;
676;Restaurante los Hidalgos Bodegon;4.0;30; ;
677;Soho Cafe & Lounge;3.5;101;€€ - €€€;Opciones vegetarianas,Opciones veganas,Opciones sin gluten
678;Tapeatro;4.0;121;€€ - €€€;Mediterránea,Italiana,Europea,Española
679;La Nueva Oficina;4.5;18;€€ - €€€;Mediterránea
680;El Gallo Rojo;4.0;42;€;Café,Española,Mediterránea,Europea
681;Dominion Beach Restaurant;4.5;18;€€ - €€€;Mediterránea,Europea,Opciones vegetarianas
682;Lizarran Tapas bar;3.5;136;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
683;Veracruz, cocina mexicana;4.0;86;€€ - €€€;Mexicana
684;Restaurante Richard;4.5;23;€;Española
685;La Traviata Playa;5.0;12; ;
686;Burguer Los Tilos;4.5;17; ;
687;Cafeteria Juani;4.5;16; ;
688;Restaurante Casa Vazquez;4.5;17; ;
689;Casa rafael la luz;4.5;15; ;Marisco
690;El Lirio;4.0;54;€€ - €€€;Mediterránea,Española,Marisco,Pub restaurante
691;El Mortal;4.0;79;€€ - €€€;Española,Café,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas
692;Vegan-té ''La Siria'' Enviar;5.0;10; ;Árabe,De Oriente Medio
693;Meson La Alegria;3.5;179;€€ - €€€;Mediterránea,Española
694;Lambik;3.5;227; ;Española
695;Lo Spritz One Arroyo de la Miel;5.0;15;€€ - €€€;Mediterránea
696;PLAN B FOOD Huelin;4.0;52;€€ - €€€;Mediterránea,Barbacoa,Española,Contemporánea,Argentina,Sudamericana
697;Blanco Restaurante;5.0;11;€€ - €€€;Española,Bar,Café,Mediterránea
698;Bendito;3.5;91;€;Sushi,Fusión,Street food / Comida en la calle,Opciones vegetarianas
699;Mister Noodles;4.0;53;€;Tailandesa,Comida rápida,Asiática,Opciones vegetarianas
700;Alea;3.5;282;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas
701;Rincón de Gigi;5.0;10; ;Española
702;Taberna Pon T Otra;4.0;22; ;
703;Cali Del Sol;4.5;17;€€ - €€€;Americana,Bar,Barbacoa,Vinoteca
704;Taperia El Nido De Goca;4.5;16; ;Española
705;A La Turca;4.0;24;€;Opciones vegetarianas
706;La Sarten de la Abuela;3.5;91;€€ - €€€;Europea,Española,Mediterránea
707;Cafe Andino malaga;4.0;35;€€ - €€€;Café
708;Restaurante Marrakech;4.0;24;€€ - €€€;Marroquí,Mediterránea,Opciones vegetarianas
709;La Taberna del Puerto;4.5;14; ;Española
710;La Casa de la Pasta;4.0;70;€€ - €€€;Europea,Italiana,Pizza,Internacional,Opciones vegetarianas
711;Retrogusto;4.5;24; ;
712;Liceo Playa;4.0;41;€€ - €€€;China,Japonesa,India,Española
713;Xantar food & drinks;4.5;17;€€ - €€€;Internacional,Fusión
714;Fonzo;5.0;9;€;Internacional,Española,Contemporánea,Saludable,Street food / Comida en la calle
715;El Paladeo;4.5;16; ;
716;Helartia Plaza del Carbón;4.0;21;€;Española
717;Restaurante Chino Shanghai;4.0;51;€€ - €€€;China,Asiática,Opciones vegetarianas
718;Restaurante Emilio José;4.5;22;€€ - €€€;Mediterránea,Española
719;Chiringuito La Farola;3.5;202;€€ - €€€;Bar,Marisco,Mediterránea,Española
720;Pizzera Frascati;3.5;109;€€ - €€€;Italiana,Pizza,Mediterránea,Europea,Opciones vegetarianas
721;Bar Zurich;4.0;22;€€ - €€€;Española
722;BAR LA HERRADURA;4.5;18; ;
723;Lounge Bar Plaza;3.5;534;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
724;Venta Galwey;4.0;34; ;
725;Restaurante Syrah;4.0;40;€€ - €€€;Mediterránea,Española,Internacional,Europea,Opciones vegetarianas
726;Carnal Grill & Club;4.0;96;€€ - €€€;Asador,Mediterránea,Barbacoa,Española,Asador,Pub restaurante
727;Bilmore;4.0;40;€€ - €€€;Mediterránea
728;ROMOLO Y REMO;4.0;155;€€ - €€€;Mediterránea,Italiana,Europea,Pizza
729;Meson El Martinete;4.0;36; ;
730;Cafe-Bar Ginebra;4.5;15; ;
731;Korner 23;4.0;51;€;Española,Bar,Mediterránea,Europea,Pub
732;Restaurante Apolo;4.0;68;€€ - €€€;Marisco,Mediterránea,Española,Sopas
733;Taberna Los Tres Caracoles;4.0;44; ;
734;Nanduti by Dora Ortiz;4.5;13;€€ - €€€;Internacional,Española,Fusión
735;Taberna El Aserradero;4.0;50; ;
736;PadThaiWok Malaga - Pza. Solidaridad;4.0;75;€;Asiática,Tailandesa,Comida rápida,Saludable,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
737;Bar Aviles Sl;5.0;10; ;
738;Restaurante Santa Eugenia;4.5;32; ;
739;Casarabonela;5.0;15; ;
740;La Pequena Espanita;4.0;26; ;
741;Casa Carlos;4.5;16; ;
742;Meson El Otro S.c;5.0;16; ;
743;Ache Restaurante Asador;5.0;17;€€ - €€€;Asador
744;Pizzeria il Forno Sardo;4.0;31;€€ - €€€;Italiana
745;274 & Co.;4.5;26;€;Bar,Mediterránea,Española,Pub,Italiana,Opciones vegetarianas
746;Marisqueria Miguel;4.5;14; ;
747;El Desván;4.5;16;€;Pub con cerveza artesanal,Bar,Café,Pub,Pub restaurante
748;Amaro Churreria Cafeteria;4.5;12;€;Española
749;Oriental Gong;4.0;28;€€ - €€€;China,Opciones vegetarianas
750;Las viandas de frasco;4.5;15;€€ - €€€;Española
751;Green Iguana Bar;4.0;33;€;Mediterránea,Española,Opciones vegetarianas
752;Taberna la Pitarra;4.5;18;€;Bar,Comida rápida,Europea,Pub
753;La Reserva;4.5;12; ;
754;La Papa Loca Malaga;4.5;26;€;Española
755;La Calle Burger Teatinos;3.5;69;€€ - €€€;Americana,Opciones vegetarianas
756;Portico de Velazquez;3.5;70;€€ - €€€;Española,Marisco
757;El Pescaito De Nicolas;4.0;56; ;
758;Teteria Nirvana;4.5;23; ;Francesa,Belga,Europea,Española
759;Jamón y Blues;4.5;14; ;Española
760;La casita de la loma;3.5;150; ;
761;Snack Jerusalem;5.0;8;€;Mediterránea
762;Heladerias Valentino;5.0;9; ;Pub
763;Kalua Helado Artesanal;4.0;27; ;
764;Meson La Estancia;4.0;34;€€ - €€€;Tienda gourmet
765;Andres Maricuchi;3.5;119;€€ - €€€;Marisco,Mediterránea,Europea,Española
766;El Oasis de Juani;4.5;18;€;Española
767;Taberna Los Barrigones;3.5;68; ;
768;D' Vinos y Copas;3.5;67;€€ - €€€;Pub restaurante,Mediterránea,Española,Europea
769;Restaurante Panacea Organic Market And Food;4.0;24;€€ - €€€;Española,Opciones vegetarianas
770;La Lonja;5.0;10; ;
771;Duran Duran;4.0;31; ;
772;Señor Conejo;4.5;14;€;Café,Mediterránea,Opciones vegetarianas
773;Caleta Playa;3.5;256;€€ - €€€;Marisco,Mediterránea,Española,Opciones vegetarianas
774;El Puenta;4.5;15;€€ - €€€;Mediterránea,Española
775;Osteria ER Compa;4.5;19;€€ - €€€;Italiana
776;El Refugio;3.5;125;€;Española
777;Bocateria Los Delfines;5.0;10;€;Española
778;Casa Bere;4.5;22; ;Marisco,Mediterránea,Española
779;Chiringuito Miguel;4.0;43;€;Mediterránea,Española
780;Castano Oscuro;4.0;44;€;Internacional,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
781;Mercado Provenzal;3.5;143;€;Bar,Europea,Española,Pub con cerveza artesanal
782;La Churrocatería;4.5;15; ;
783;Matahambre;3.5;499;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
784;Romero;4.5;26; ;Mediterránea,Internacional
785;Tejeringos Las Delicias;4.5;13;€;Española
786;Papulinos;4.5;11; ;Española
787;La Campana de Paula;4.5;26;€;Mediterránea,Española
788;Halfway;4.5;16;€;Bar,Pub
789;Azafran;4.5;45;€€ - €€€;Marroquí,Mediterránea
790;Cafeteria Oliver;4.0;34;€;Café,Española,Mediterránea
791;Plan B Cafe;4.5;27;€;Café,Bar,Pub
792;La Peregrina;4.0;42; ;Marisco
793;Restaurante Casa Juan;4.5;14;€;Opciones vegetarianas
794;Acuario Bar and Resyuarant;4.5;17;€;Española
795;Bella Vista Pizzorante;3.5;304;€€ - €€€;Italiana,Pizza,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas
796;Vereda;5.0;21; ;
797;La Taperia de Benalmadena;4.0;46;€€ - €€€;Mediterránea,Española
798;Restaurante japonés Matsuya;4.0;16; ;
799;Bar Manhattan;4.5;12;€;Mediterránea,Asador
800;Chiringuito Lagos;5.0;9; ;
801;Cafeteria Narixa;4.0;21;€;Mediterránea,Europea
802;Taberna Matahambre Teatinos;4.0;20;€€ - €€€;Mediterránea,Europea,Española
803;Smile Inc;4.0;26;€;Pub con cerveza artesanal,Café
804;El Buen Culin Sidreria Asturiana;4.0;114;€€ - €€€;Española
805;Hacienda del Álamo;4.5;14; ;
806;La Posada de Brasil Vialia;4.0;33;€€ - €€€;Brasileña,Asador,Barbacoa,Española,Sudamericana
807;Bodegas El Toro, Málaga;4.5;13; ;Pizza,Mediterránea,Española,Comedor,Saludable
808;La Taberna de Maria y Pepe;4.5;24; ;
809;llaollao;4.0;22; ;
810;Bar Pizzeria La Capricho Churriana;4.5;11; ;
811;El Balneario;3.5;733;€€ - €€€;Mediterránea,Europea,Española,Internacional,Pub restaurante,Opciones vegetarianas,Opciones sin gluten
812;DieciNueve;4.5;28; ;Mediterránea
813;Wattana Cocktail Club;5.0;7;€€ - €€€;Española
814;Teteria El Pequeño Buda;4.0;22; ;
815;El Azteca Restaurante & Bar Mexicano;4.0;40;€€ - €€€;Mexicana,Latina,Española,Saludable,Sudamericana,Centroamericana
816;Cafeteria Bar El Vecino;5.0;8; ;
817;Ta-Kumi Malaga;4.0;17;€€€€;Japonesa
818;Steves Bar;4.5;12; ;
819;100 Montaditos;4.0;25;€;Opciones vegetarianas
820;El Tiburon Taurino;4.5;22; ;
821;La Taberna Del Castillo;4.0;18;€€ - €€€;Española
822;Restaurante Wok De Li;4.5;11; ;
823;La Canasta;3.5;68;€;Café,Española,Europea,Opciones vegetarianas
824;Hotel Castillo de Santa Catalina;4.5;17;€€ - €€€;Española
825;La Piccolina;3.5;92;€€ - €€€;Italiana,Pizza
826;El Sacromonte Tapas;4.0;56;€;Mediterránea,Española,Europea,Opciones vegetarianas,Opciones sin gluten
827;Tejeringo´s;4.0;35; ;
828;Chiringuito Aquí Mismo & Playa Antonio;4.0;42; ;
829;Asador Europa 2;5.0;12;€;Argentina,Sudamericana,Española
830;Mamma Mia;4.0;21;€€ - €€€;Opciones vegetarianas
831;Restaurante Jesús Gutiérrez Amitabha;3.5;179;€€ - €€€;Marisco,Mediterránea,Española,Europea,Opciones vegetarianas
832;Fuente de la Reina;4.0;27;€€ - €€€;Española
833;Cafeteria Axarquia;4.5;20;€;Mediterránea,Española,Europea
834;El Dorado;4.0;24; ;Comida rápida
835;Burger Scooby;4.0;36; ;
836;Cerveceria 100 Montaditos;3.5;126;€;Bar,Comida rápida,Europea,Española,Pub
837;Qbo;5.0;7; ;
838;Secreto del Vino;4.0;26; ;
839;Chiringuito Oasis;3.5;194;€€ - €€€;Bar,Marisco,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
840;Marisqueria-Freiduria Salvador y Lucas;4.5;12; ;
841;Teteria Palacio Nazari;3.5;276;€€ - €€€;Marroquí,Café,De Oriente Medio,Opciones veganas,Halal,Opciones vegetarianas
842;Cafeteria Rialto;4.5;12; ;
843;Mindanao Pinchos&Drinks;4.5;9;€;Mediterránea
844;Kimchi Casualfood;4.5;10;€€ - €€€;Mexicana,Japonesa,Americana,Española
845;Nomad Pedregalejo;4.0;22;€€ - €€€;Mediterránea,Pub
846;A la turca;4.0;11; ;Turca
847;Millesimee;4.5;14;€€ - €€€;Italiana,Española
848;El Kiosko de la Loma;4.5;11; ;
849;Papulinos;3.5;113;€€ - €€€;Asador,Asador
850;Mané;5.0;7;€€€€;Española
851;Restaurante Palo Cortado;3.5;98;€€€€;Española,Opciones vegetarianas
