position;restaurants;ratings;number_reviews;price_category;food_category
257;DINAMITA SUSHI;4.5;144;€€ - €€€;Japonesa,Sushi,Fusión,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
258;Kalua Helado Artesanal;4.5;82;€;Opciones vegetarianas
259;Casa Pepa;4.0;294;€;Mediterránea,Española
260;La Mafia se Sienta a la Mesa;4.0;708;€€ - €€€;Italiana,Mediterránea,Europea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
261;La Ménsula;4.0;199;€€ - €€€;Mediterránea,Española,Opciones vegetarianas
262;Chiringuito La Inopia;4.5;93;€€ - €€€;Opciones vegetarianas,Opciones veganas,Opciones sin gluten
263;Bar Malaga Restaurante;4.0;146;€€ - €€€;Mediterránea,Europea,Española
264;NicPic;4.5;41;€€ - €€€;Mediterránea,Opciones vegetarianas,Opciones veganas
265;La Revuelta;4.5;55;€€ - €€€;Opciones vegetarianas
266;La Taba;4.5;48;€;Opciones sin gluten
267;La Bodega Del Pintor;4.5;153;€€ - €€€;Bar,Mediterránea,Española
268;Takumi;5.0;42;€€ - €€€;Japonesa,Opciones vegetarianas,Opciones sin gluten
269;La Plaza;4.0;123;€€ - €€€;Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
270;Sansho - Korean and Japanese Cuisine;4.5;50;€€ - €€€;Japonesa,Asiática,Coreana,Opciones vegetarianas,Opciones veganas
271;Mamuchis restaurante;4.0;177;€€ - €€€;Mexicana,Europea,Asiática,Griega,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
272;Gabi;4.0;227;€€ - €€€;Marisco,Mediterránea,Barbacoa,Europea,Española,Opciones vegetarianas
273;TABERNA LA CHOZA DE JARAZMIN;4.5;51;€€ - €€€;Bar,Barbacoa,Española,Contemporánea,Pub
274;Lola y Ludwig;4.5;53;€€ - €€€;Mediterránea,Europea,Española,Contemporánea,Fusión,Bar,Opciones vegetarianas,Opciones sin gluten,Opciones veganas
275;Small Cafe;4.5;84;€€ - €€€;Café,Bar
276;Casa Lola Strachan;4.5;65;€€ - €€€;Mediterránea,Española,Europea,Opciones vegetarianas
277;BB Juice;5.0;29;€;Opciones vegetarianas
278;Restaurante Bar La Bouganvilla;4.0;660;€€ - €€€;Bar,Mediterránea,Europea,Española,Internacional,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
279;Miguelito El Cariñoso;4.0;228;€€ - €€€;Marisco,Mediterránea,Europea,Española
280;Restaurante Hamburgueseria Mafalda;4.0;129;€;Comida rápida,Española,Opciones vegetarianas
281;Comepizza;4.0;230;€€ - €€€;Italiana,Pizza,Opciones vegetarianas,Opciones veganas
282;Pizzería El Pavone;4.5;103;€;Italiana,Pizza,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
